text,label
"Chennai Metro Phase 2 construction progresses across multiple corridors",real
"Tamil Nadu government announces new scholarship scheme for engineering students",real
"IIT Madras researchers develop low-cost battery technology",real
"Heavy rains expected in Chennai according to weather department",real
"New industrial investment project launched in Coimbatore",real
"State government expands free healthcare services in rural districts",real
"Anna University introduces updated curriculum for emerging technologies",real
"Tamil Nadu records increase in solar power generation",real
"New electric buses introduced in Chennai public transport network",real
"Madurai airport expansion project receives environmental clearance",real
"Coimbatore startup receives funding for clean energy innovation",real
"Tamil Nadu farmers receive compensation after flood damage",real
"New desalination plant improves water supply near Chennai",real
"State launches digital learning initiative for government schools",real
"NIT Trichy researchers publish findings on sustainable materials",real
"Chennai corporation begins citywide road maintenance program",real
"Tamil Nadu reports growth in electronics manufacturing sector",real
"New medical college inaugurated in southern Tamil Nadu",real
"State government allocates additional funds for higher education",real
"Tourism department promotes heritage sites across Tamil Nadu",real
"Chennai airport upgrades passenger facilities",real
"Tamil Nadu health department expands vaccination coverage",real
"Government launches employment program for young graduates",real
"Research team develops efficient water purification system",real
"Coimbatore emerges as hub for electric vehicle manufacturing",real
"Farmers adopt modern irrigation methods across delta districts",real
"New housing project approved for low income families",real
"State introduces additional buses for rural connectivity",real
"Chennai port reports increase in cargo handling operations",real
"Tamil Nadu signs agreement for renewable energy development",real
"Government school students achieve high pass percentage",real
"Medical camp organized across multiple districts",real
"Researchers study coastal erosion along Tamil Nadu shoreline",real
"State promotes startups through innovation grants",real
"Public hospitals receive advanced diagnostic equipment",real
"Metro rail project expected to reduce travel time in Chennai",real
"Fishermen receive weather alerts through mobile platform",real
"Government expands internet connectivity in rural villages",real
"Industrial corridor project attracts new investments",real
"State reports improvement in literacy indicators",real
"Chennai ranked among major technology hubs in India",real
"New wastewater treatment facility inaugurated",real
"University researchers publish climate adaptation study",real
"Electric vehicle charging stations expanded across cities",real
"State launches skill development centers in multiple districts",real
"Tourism revenue increases during festival season",real
"Healthcare workers conduct awareness campaigns",real
"New bridge project improves transportation access",real
"Government announces flood preparedness measures",real
"Tamil Nadu exports show steady growth this quarter",real

"Aliens spotted directing traffic near Marina Beach",fake
"Scientists in Chennai discover machine that stops aging forever",fake
"Secret underground city found beneath Chennai Central station",fake
"Government hiding giant treasure buried under Marina Beach",fake
"Coimbatore declared separate nation by local businessmen",fake
"Ancient Tamil kings secretly ruled the moon according to viral claim",fake
"Talking elephant elected village president in Nilgiris",fake
"Secret tunnel connects Chennai directly to London",fake
"Marina Beach sand contains gold worth trillions sources claim",fake
"Government installing thought reading devices in traffic signals",fake
"Aliens attend Chennai music festival disguised as humans",fake
"Madurai temple discovered to be portal to another dimension",fake
"Scientists prove idli cures every known disease",fake
"Chennai Metro trains capable of time travel insiders reveal",fake
"Secret society controls all college admissions in Tamil Nadu",fake
"Hidden pyramid discovered beneath IIT Madras campus",fake
"Government planning to move Chennai city into the sea",fake
"Ancient manuscript predicts Coimbatore will become world capital",fake
"Clouds over Chennai are artificial according to conspiracy theory",fake
"Robots secretly replacing teachers across Tamil Nadu schools",fake
"Famous Tamil actor crowned king of Tamil Nadu",fake
"Satellite images reveal giant dragon living in Western Ghats",fake
"Scientists discover invisible city near Kanyakumari",fake
"New study claims filter coffee grants superhuman intelligence",fake
"Government hiding evidence of dinosaurs in Tamil Nadu",fake
"Passengers report teleportation event on Chennai Metro",fake
"Secret organization controls weather over Tamil Nadu",fake
"Ancient aliens built Mahabalipuram monuments experts claim",fake
"Talking peacock found giving interviews in Madurai",fake
"Marina Beach water transformed into fuel overnight",fake
"Researchers claim dosa can replace all medicines",fake
"Government secretly building city beneath Bay of Bengal",fake
"Aliens purchase land near Coimbatore according to rumors",fake
"Hidden kingdom discovered inside Nilgiri mountains",fake
"Scientists prove mobile towers make coconuts glow at night",fake
"Secret documents reveal Chennai located above lost civilization",fake
"Flying auto rickshaw spotted above Mount Road",fake
"Time travelers seen attending Chennai book fair",fake
"Ancient Tamil technology powered spacecraft thousands of years ago",fake
"Government uses rain clouds to transmit secret messages",fake
"Ghost train appears on Chennai Metro after midnight",fake
"Scientists confirm cats can predict election results",fake
"Secret lake under Chennai contains immortality water",fake
"Aliens funding startups in Tamil Nadu according to viral post",fake
"Hidden treasure found beneath Kapaleeshwarar Temple",fake
"Government planning to ban sleep to increase productivity",fake
"Giant snake discovered beneath Chennai airport runway",fake
"Researchers find portal to Mars near Rameswaram",fake
"Artificial moon created above Tamil Nadu by secret agency",fake
"Scientists claim humans can survive without food using sunlight alone",fake
"Trump is dead",fake
"trump is gay",real
